transaction_id,stage_id,event_timestamp,stage_status,error_code
TXN00000001,1,2026-08-16 22:51:07.288,SUCCESS,ERR_SUCCESS
TXN00000001,2,2026-08-16 22:51:07.459,SUCCESS,ERR_SUCCESS
TXN00000001,3,2026-08-16 22:51:07.673,SUCCESS,ERR_SUCCESS
TXN00000001,4,2026-08-16 22:51:07.783,SUCCESS,ERR_SUCCESS
TXN00000001,5,2026-08-16 22:51:07.973,SUCCESS,ERR_SUCCESS
TXN00000001,6,2026-08-16 22:51:08.092,SUCCESS,ERR_SUCCESS
TXN00000001,7,2026-08-16 22:51:08.361,SUCCESS,ERR_SUCCESS
TXN00000002,1,2026-08-10 01:58:14.062,SUCCESS,ERR_SUCCESS
TXN00000002,2,2026-08-10 01:58:14.349,SUCCESS,ERR_SUCCESS
TXN00000002,3,2026-08-10 01:58:14.444,SUCCESS,ERR_SUCCESS
TXN00000002,4,2026-08-10 01:58:14.521,SUCCESS,ERR_SUCCESS
TXN00000002,5,2026-08-10 01:58:14.615,SUCCESS,ERR_SUCCESS
TXN00000002,6,2026-08-10 01:58:14.816,SUCCESS,ERR_SUCCESS
TXN00000002,7,2026-08-10 01:58:15.072,SUCCESS,ERR_SUCCESS
TXN00000003,1,2026-08-03 12:14:10.058,SUCCESS,ERR_SUCCESS
TXN00000003,2,2026-08-03 12:14:10.298,SUCCESS,ERR_SUCCESS
TXN00000003,3,2026-08-03 12:14:10.570,SUCCESS,ERR_SUCCESS
TXN00000003,4,2026-08-03 12:14:10.672,SUCCESS,ERR_SUCCESS
TXN00000003,5,2026-08-03 12:14:10.966,SUCCESS,ERR_SUCCESS
TXN00000003,6,2026-08-03 12:14:11.209,SUCCESS,ERR_SUCCESS
TXN00000003,7,2026-08-03 12:14:11.443,SUCCESS,ERR_SUCCESS
TXN00000004,1,2026-07-29 19:10:30.223,SUCCESS,ERR_SUCCESS
TXN00000004,2,2026-07-29 19:10:30.362,SUCCESS,ERR_SUCCESS
TXN00000004,3,2026-07-29 19:10:30.452,SUCCESS,ERR_SUCCESS
TXN00000004,4,2026-07-29 19:10:30.723,SUCCESS,ERR_SUCCESS
TXN00000004,5,2026-07-29 19:10:30.812,SUCCESS,ERR_SUCCESS
TXN00000004,6,2026-07-29 19:10:31.009,SUCCESS,ERR_SUCCESS
TXN00000004,7,2026-07-29 19:10:31.099,SUCCESS,ERR_SUCCESS
TXN00000005,1,2026-08-10 12:33:28.144,SUCCESS,ERR_SUCCESS
TXN00000005,2,2026-08-10 12:33:28.284,SUCCESS,ERR_SUCCESS
TXN00000005,3,2026-08-10 12:33:28.564,SUCCESS,ERR_SUCCESS
TXN00000005,4,2026-08-10 12:33:28.766,SUCCESS,ERR_SUCCESS
TXN00000005,5,2026-08-10 12:33:29.059,SUCCESS,ERR_SUCCESS
TXN00000005,6,2026-08-10 12:33:29.324,SUCCESS,ERR_SUCCESS
TXN00000005,7,2026-08-10 12:33:29.387,SUCCESS,ERR_SUCCESS
TXN00000006,1,2026-08-10 16:42:49.158,SUCCESS,ERR_SUCCESS
TXN00000006,2,2026-08-10 16:42:49.323,SUCCESS,ERR_SUCCESS
TXN00000006,3,2026-08-10 16:42:49.594,SUCCESS,ERR_SUCCESS
TXN00000006,4,2026-08-10 16:42:49.742,SUCCESS,ERR_SUCCESS
TXN00000006,5,2026-08-10 16:42:49.982,SUCCESS,ERR_SUCCESS
TXN00000006,6,2026-08-10 16:42:50.248,SUCCESS,ERR_SUCCESS
