device_id,operating_system,os_version,device_category
DEV000001,Android,13,Budget
DEV000002,Android,12,Budget
DEV000003,Android,13,Mid-range
DEV000004,iOS,16.5,Budget
DEV000005,Android,12,Budget
DEV000006,Android,11,Mid-range
DEV000007,Android,11,Budget
DEV000008,Android,13,Mid-range
DEV000009,Android,11,Mid-range
DEV000010,Android,14,Budget
DEV000011,Android,14,Mid-range
DEV000012,Android,12,Budget
DEV000013,iOS,17.2,Budget
DEV000014,Android,11,Budget
DEV000015,Android,14,Mid-range
DEV000016,Android,14,Mid-range
DEV000017,Android,12,Premium
DEV000018,Android,12,Mid-range
DEV000019,Android,14,Mid-range
DEV000020,iOS,16.5,Mid-range
DEV000021,Android,13,Budget
DEV000022,Android,11,Budget
DEV000023,Android,11,Budget
DEV000024,Android,11,Budget
DEV000025,Android,13,Budget
DEV000026,Android,12,Budget
DEV000027,Android,12,Premium
DEV000028,Android,13,Mid-range
DEV000029,Android,11,Mid-range
DEV000030,Android,11,Budget
DEV000031,iOS,17.2,Mid-range
DEV000032,Android,13,Mid-range
DEV000033,Android,14,Mid-range
DEV000034,Android,11,Budget
DEV000035,Android,12,Budget
DEV000036,Android,11,Premium
DEV000037,iOS,16.5,Budget
DEV000038,Android,13,Budget
DEV000039,iOS,16.5,Mid-range
DEV000040,Android,12,Budget
DEV000041,Android,13,Budget
DEV000042,Android,13,Premium
DEV000043,Android,12,Budget
DEV000044,iOS,17.2,Mid-range
DEV000045,Android,11,Budget
DEV000046,Android,11,Mid-range
DEV000047,Android,14,Mid-range
DEV000048,Android,11,Budget
DEV000049,iOS,17.2,Mid-range
DEV000050,iOS,17.2,Premium
DEV000051,Android,11,Mid-range
DEV000052,Android,13,Mid-range
DEV000053,Android,12,Mid-range
DEV000054,Android,11,Mid-range
DEV000055,Android,12,Premium
DEV000056,iOS,16.5,Budget
DEV000057,Android,12,Budget
DEV000058,iOS,16.5,Premium
DEV000059,Android,12,Mid-range
DEV000060,Android,13,Budget
DEV000061,Android,14,Mid-range
DEV000062,Android,14,Mid-range
DEV000063,Android,11,Budget
DEV000064,Android,11,Premium
DEV000065,iOS,16.5,Mid-range
DEV000066,Android,12,Budget
DEV000067,iOS,16.5,Premium
DEV000068,Android,11,Mid-range
DEV000069,Android,11,Mid-range
DEV000070,Android,14,Budget
DEV000071,Android,12,Mid-range
DEV000072,Android,12,Premium
DEV000073,Android,12,Budget
DEV000074,Android,12,Mid-range
DEV000075,Android,11,Budget
DEV000076,iOS,17.2,Mid-range
DEV000077,Android,12,Mid-range
DEV000078,Android,11,Budget
DEV000079,Android,12,Mid-range
DEV000080,Android,11,Budget
DEV000081,Android,11,Mid-range
DEV000082,Android,11,Premium
DEV000083,iOS,16.5,Budget
DEV000084,Android,11,Mid-range
DEV000085,Android,11,Budget
DEV000086,iOS,16.5,Mid-range
DEV000087,Android,12,Mid-range
DEV000088,Android,14,Budget
DEV000089,Android,11,Mid-range
DEV000090,Android,12,Mid-range
DEV000091,Android,13,Mid-range
DEV000092,iOS,17.2,Budget
DEV000093,Android,12,Budget
DEV000094,iOS,16.5,Budget
DEV000095,Android,11,Mid-range
DEV000096,Android,12,Budget
DEV000097,Android,11,Premium
DEV000098,Android,12,Premium
DEV000099,Android,13,Budget
DEV000100,iOS,17.2,Mid-range
DEV000101,iOS,17.2,Premium
DEV000102,Android,14,Budget
DEV000103,Android,12,Budget
DEV000104,Android,12,Budget
DEV000105,Android,12,Premium
DEV000106,Android,12,Mid-range
DEV000107,Android,12,Mid-range
DEV000108,iOS,17.2,Premium
DEV000109,Android,13,Mid-range
DEV000110,Android,11,Budget
DEV000111,iOS,17.2,Mid-range
DEV000112,Android,12,Mid-range
DEV000113,Android,11,Mid-range
DEV000114,Android,12,Premium
DEV000115,Android,11,Premium
DEV000116,Android,11,Budget
DEV000117,Android,13,Mid-range
DEV000118,Android,11,Budget
DEV000119,iOS,16.5,Budget
DEV000120,Android,13,Mid-range
DEV000121,Android,12,Mid-range
DEV000122,Android,12,Premium
DEV000123,Android,11,Mid-range
DEV000124,Android,11,Budget
DEV000125,Android,13,Budget
DEV000126,Android,12,Mid-range
DEV000127,Android,11,Mid-range
DEV000128,iOS,17.2,Premium
DEV000129,Android,11,Budget
DEV000130,Android,12,Premium
DEV000131,iOS,16.5,Premium
DEV000132,Android,12,Budget
DEV000133,Android,14,Mid-range
DEV000134,Android,13,Premium
DEV000135,Android,13,Budget
DEV000136,Android,14,Budget
DEV000137,Android,13,Premium
DEV000138,Android,11,Budget
DEV000139,Android,11,Mid-range
DEV000140,Android,12,Mid-range
DEV000141,Android,13,Budget
DEV000142,Android,13,Budget
DEV000143,Android,12,Premium
DEV000144,Android,14,Budget
DEV000145,Android,12,Budget
DEV000146,Android,11,Mid-range
DEV000147,Android,13,Budget
DEV000148,Android,13,Mid-range
DEV000149,Android,12,Budget
DEV000150,Android,11,Premium
DEV000151,iOS,16.5,Mid-range
DEV000152,Android,14,Mid-range
DEV000153,Android,11,Budget
DEV000154,Android,12,Premium
DEV000155,Android,14,Premium
DEV000156,iOS,16.5,Budget
DEV000157,Android,11,Budget
DEV000158,Android,14,Premium
DEV000159,Android,12,Mid-range
DEV000160,Android,11,Premium
DEV000161,iOS,16.5,Premium
DEV000162,Android,14,Premium
DEV000163,Android,11,Mid-range
DEV000164,Android,12,Premium
DEV000165,Android,14,Premium
DEV000166,Android,14,Budget
DEV000167,Android,14,Budget
DEV000168,iOS,16.5,Premium
DEV000169,Android,11,Mid-range
DEV000170,Android,12,Budget
DEV000171,Android,14,Budget
DEV000172,Android,11,Budget
DEV000173,Android,12,Premium
DEV000174,iOS,17.2,Budget
DEV000175,Android,13,Budget
DEV000176,iOS,17.2,Mid-range
DEV000177,iOS,16.5,Budget
DEV000178,iOS,17.2,Budget
DEV000179,iOS,17.2,Budget
DEV000180,Android,11,Mid-range
DEV000181,Android,13,Budget
DEV000182,Android,13,Mid-range
DEV000183,Android,12,Mid-range
DEV000184,Android,12,Mid-range
DEV000185,Android,11,Premium
DEV000186,Android,12,Mid-range
DEV000187,Android,13,Mid-range
DEV000188,Android,12,Budget
DEV000189,Android,13,Budget
DEV000190,Android,12,Mid-range
DEV000191,Android,13,Budget
DEV000192,Android,12,Mid-range
DEV000193,Android,12,Budget
DEV000194,Android,11,Mid-range
