transaction_id,user_id,payer_bank_id,payee_bank_id,amount,timestamp,transaction_type,device_id,network_type,payment_app,final_status,failure_code
TXN00000001,USR007723,BNK002,BNK001,61.75,2026-08-16 22:51:07,P2M,DEV002858,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000002,USR007390,BNK010,BNK006,176.36,2026-08-10 01:58:14,P2M,DEV003000,5G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000003,USR001275,BNK003,BNK001,214.79,2026-08-03 12:14:10,P2P,DEV000928,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000004,USR001417,BNK001,BNK002,15.91,2026-07-29 19:10:30,P2P,DEV003723,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000005,USR005342,BNK002,BNK007,238.89,2026-08-10 12:33:28,P2M,DEV001824,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000006,USR003381,BNK002,BNK002,47016.83,2026-08-10 16:42:49,P2P,DEV001672,4G,CRED,SUCCESS,ERR_SUCCESS
TXN00000007,USR002743,BNK002,BNK005,128.32,2026-08-18 08:53:16,P2M,DEV002274,5G,CRED,SUCCESS,ERR_SUCCESS
TXN00000008,USR000709,BNK002,BNK006,247.02,2026-08-14 18:40:41,P2P,DEV003686,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000009,USR006524,BNK001,BNK004,190.18,2026-08-21 20:01:48,P2M,DEV001820,4G,Google Pay,FAILED,ERR_TD_01
TXN00000010,USR006071,BNK001,BNK001,1368.57,2026-08-12 10:26:13,P2P,DEV001504,4G,PhonePe,FAILED,ERR_BD_03
TXN00000011,USR000997,BNK005,BNK003,1179.64,2026-08-21 20:12:11,P2P,DEV004320,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000012,USR005255,BNK002,BNK004,157.1,2026-08-24 21:17:40,P2M,DEV003958,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000013,USR004969,BNK001,BNK003,821.58,2026-08-22 00:10:17,P2P,DEV004053,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000014,USR007064,BNK008,BNK003,86.18,2026-07-30 18:05:29,P2M,DEV000877,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000015,USR009755,BNK002,BNK001,1816.65,2026-08-07 19:10:11,P2M,DEV001301,5G,PhonePe,FAILED,ERR_BD_03
TXN00000016,USR007605,BNK002,BNK002,2162.18,2026-07-28 09:50:17,P2M,DEV003016,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000017,USR007413,BNK001,BNK002,145.05,2026-08-08 22:14:38,P2P,DEV001813,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000018,USR007904,BNK001,BNK004,21558.95,2026-07-30 18:48:33,P2P,DEV004040,4G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000019,USR008591,BNK007,BNK002,31.93,2026-07-31 18:25:32,P2M,DEV000278,5G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000020,USR007519,BNK004,BNK004,177.53,2026-08-20 02:20:46,P2P,DEV000865,3G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000021,USR000776,BNK001,BNK001,156.22,2026-08-18 11:34:27,P2M,DEV000423,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000022,USR006525,BNK002,BNK007,911.37,2026-07-28 03:45:59,P2M,DEV002775,5G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000023,USR002453,BNK005,BNK001,178.54,2026-08-24 03:59:04,P2M,DEV000343,4G,Paytm,FAILED,ERR_TD_01
TXN00000024,USR008947,BNK008,BNK005,1631.99,2026-08-25 13:05:43,P2P,DEV003130,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000025,USR004996,BNK001,BNK006,9938.76,2026-08-08 03:14:16,P2M,DEV004577,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000026,USR009668,BNK008,BNK003,113.83,2026-08-04 01:55:55,P2P,DEV003971,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000027,USR005180,BNK002,BNK010,1866.21,2026-08-04 14:32:49,P2M,DEV000686,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000028,USR000826,BNK002,BNK003,210.91,2026-08-12 22:56:44,P2P,DEV001398,4G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000029,USR003722,BNK001,BNK003,130.76,2026-08-21 03:54:21,P2M,DEV001592,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000030,USR003852,BNK001,BNK003,209.61,2026-08-19 10:32:48,P2P,DEV004244,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000031,USR000720,BNK008,BNK008,653.18,2026-08-25 02:07:45,P2M,DEV003420,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000032,USR009973,BNK006,BNK009,156.39,2026-07-31 09:38:15,P2M,DEV000341,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000033,USR005255,BNK004,BNK007,1841.25,2026-08-13 16:59:23,P2M,DEV000967,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000034,USR009536,BNK001,BNK007,1735.59,2026-08-07 10:28:08,P2P,DEV001422,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000035,USR002099,BNK003,BNK002,1648.25,2026-08-17 19:03:31,P2M,DEV002808,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000036,USR004920,BNK001,BNK003,1811.85,2026-08-24 08:28:28,P2P,DEV001649,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000037,USR005455,BNK005,BNK002,133.53,2026-08-04 20:38:25,P2M,DEV004292,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000038,USR002438,BNK004,BNK010,43651.02,2026-08-26 20:13:57,P2M,DEV000927,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000039,USR007487,BNK003,BNK001,9013.19,2026-08-02 14:13:03,P2M,DEV002918,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000040,USR004479,BNK001,BNK001,121.04,2026-08-16 15:52:19,P2P,DEV004726,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000041,USR007196,BNK006,BNK004,489.94,2026-08-14 23:49:50,P2P,DEV004945,5G,PhonePe,FAILED,ERR_BD_02
TXN00000042,USR000248,BNK001,BNK003,190.0,2026-08-15 04:59:18,P2P,DEV004636,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000043,USR006270,BNK007,BNK008,8478.82,2026-08-17 06:03:05,P2M,DEV000823,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000044,USR007795,BNK010,BNK002,244.42,2026-08-06 00:38:48,P2P,DEV002391,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000045,USR004609,BNK009,BNK003,227.24,2026-08-21 13:50:03,P2M,DEV000519,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000046,USR005090,BNK007,BNK002,123.9,2026-08-08 22:45:23,P2M,DEV004784,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000047,USR005001,BNK002,BNK004,6446.82,2026-08-25 14:56:08,P2M,DEV001534,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000048,USR002001,BNK001,BNK001,1319.4,2026-08-02 18:00:28,P2P,DEV003877,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000049,USR005676,BNK003,BNK004,234.04,2026-08-17 22:17:13,P2M,DEV001761,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000050,USR002095,BNK004,BNK005,6758.77,2026-08-05 21:33:43,P2M,DEV003025,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000051,USR005879,BNK001,BNK002,1106.62,2026-07-29 13:13:25,P2P,DEV000779,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000052,USR003214,BNK002,BNK008,1355.96,2026-08-03 00:51:24,P2P,DEV002784,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000053,USR001122,BNK001,BNK009,3726.01,2026-08-21 22:16:12,P2M,DEV000687,WiFi,Paytm,SUCCESS,ERR_SUCCESS
TXN00000054,USR007098,BNK001,BNK008,111.89,2026-08-10 14:56:50,P2P,DEV001656,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000055,USR006893,BNK004,BNK004,1227.12,2026-08-04 10:27:21,P2M,DEV003868,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000056,USR007203,BNK007,BNK005,208.45,2026-08-15 05:29:23,P2M,DEV000851,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000057,USR005401,BNK003,BNK002,78.55,2026-08-24 18:15:45,P2P,DEV000814,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000058,USR000467,BNK001,BNK005,134.3,2026-08-16 02:05:17,P2M,DEV000081,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000059,USR005331,BNK007,BNK001,998.2,2026-08-14 04:33:42,P2P,DEV001633,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000060,USR001287,BNK004,BNK002,87.12,2026-08-10 03:40:23,P2P,DEV001629,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000061,USR008007,BNK003,BNK002,763.63,2026-08-17 09:27:43,P2M,DEV002838,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000062,USR003969,BNK005,BNK001,186.3,2026-08-19 11:49:19,P2M,DEV003111,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000063,USR006256,BNK002,BNK001,163.78,2026-08-14 08:04:45,P2P,DEV002958,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000064,USR003428,BNK001,BNK006,75.07,2026-08-02 05:00:28,P2M,DEV002128,4G,Google Pay,FAILED,ERR_BD_04
TXN00000065,USR008527,BNK002,BNK007,199.02,2026-08-15 19:47:30,P2P,DEV000044,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000066,USR003551,BNK003,BNK004,1494.12,2026-08-25 05:45:33,P2M,DEV001189,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000067,USR008754,BNK003,BNK004,89.79,2026-08-01 17:23:37,P2M,DEV000607,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000068,USR007202,BNK004,BNK002,108.76,2026-08-11 20:45:50,P2M,DEV000709,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000069,USR007152,BNK002,BNK005,127.42,2026-07-31 18:31:21,P2P,DEV003776,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000070,USR006992,BNK006,BNK006,158.04,2026-08-20 21:03:04,P2P,DEV003031,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000071,USR005531,BNK001,BNK002,50.68,2026-08-01 15:25:39,P2M,DEV002064,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000072,USR003839,BNK006,BNK001,106.54,2026-08-19 23:32:21,P2P,DEV004856,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000073,USR005166,BNK002,BNK002,133.67,2026-08-20 17:03:31,P2P,DEV004569,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000074,USR007719,BNK002,BNK001,351.65,2026-07-31 03:52:31,P2P,DEV001704,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000075,USR009219,BNK008,BNK005,127.69,2026-08-09 22:28:57,P2P,DEV004031,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000076,USR004079,BNK002,BNK007,98.47,2026-08-19 06:27:13,P2M,DEV001109,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000077,USR002573,BNK009,BNK006,8543.95,2026-08-27 16:04:08,P2P,DEV001936,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000078,USR001556,BNK001,BNK005,32347.3,2026-08-06 20:28:49,P2M,DEV001000,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000079,USR004512,BNK001,BNK005,191.27,2026-08-05 21:24:58,P2M,DEV000929,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000080,USR001307,BNK004,BNK003,226.27,2026-08-14 11:00:32,P2P,DEV004109,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000081,USR008997,BNK003,BNK002,7005.8,2026-08-20 20:45:22,P2M,DEV002913,4G,Google Pay,FAILED,ERR_BD_01
TXN00000082,USR009857,BNK006,BNK003,1321.24,2026-08-15 05:34:32,P2M,DEV001450,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000083,USR003346,BNK009,BNK006,1933.78,2026-08-16 01:16:29,P2M,DEV003487,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000084,USR006313,BNK008,BNK002,1993.07,2026-08-12 09:09:39,P2M,DEV002143,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000085,USR003653,BNK001,BNK001,1300.33,2026-08-20 03:01:50,P2P,DEV002038,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000086,USR009294,BNK001,BNK005,82.25,2026-08-12 09:43:37,P2P,DEV003475,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000087,USR001861,BNK009,BNK009,82.01,2026-08-12 13:50:09,P2P,DEV000560,3G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000088,USR008391,BNK004,BNK005,207.55,2026-08-24 23:31:59,P2M,DEV002972,4G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000089,USR000698,BNK002,BNK010,52.09,2026-08-02 01:10:14,P2M,DEV003696,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000090,USR001272,BNK001,BNK006,25.03,2026-08-27 09:39:58,P2P,DEV004200,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000091,USR007685,BNK004,BNK008,1522.57,2026-08-11 06:54:57,P2M,DEV004995,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000092,USR001326,BNK005,BNK008,8133.03,2026-07-28 23:03:07,P2M,DEV004017,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000093,USR004497,BNK004,BNK006,984.56,2026-08-27 17:39:49,P2P,DEV005000,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000094,USR008705,BNK008,BNK003,535.09,2026-08-07 09:32:12,P2P,DEV003048,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000095,USR009679,BNK003,BNK001,1775.58,2026-08-01 04:39:01,P2M,DEV003919,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000096,USR009461,BNK007,BNK006,785.65,2026-08-05 21:15:19,P2P,DEV002378,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000097,USR000656,BNK002,BNK006,225.54,2026-08-13 12:41:43,P2M,DEV002520,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000098,USR004982,BNK004,BNK003,1303.88,2026-08-06 09:20:22,P2M,DEV000064,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000099,USR003392,BNK003,BNK002,41701.44,2026-08-22 19:00:22,P2P,DEV002351,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000100,USR006858,BNK002,BNK001,639.37,2026-08-04 06:52:27,P2P,DEV003773,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000101,USR006119,BNK005,BNK001,227.43,2026-08-14 22:55:39,P2M,DEV003634,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000102,USR004150,BNK003,BNK003,143.3,2026-08-21 09:14:20,P2P,DEV000576,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000103,USR004471,BNK001,BNK003,1296.18,2026-08-15 21:22:56,P2M,DEV004941,4G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000104,USR004027,BNK003,BNK005,1683.14,2026-08-23 21:21:30,P2M,DEV004520,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000105,USR003448,BNK003,BNK005,14099.85,2026-08-15 09:26:33,P2P,DEV001164,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000106,USR007864,BNK003,BNK003,879.84,2026-08-02 12:49:36,P2M,DEV004283,4G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000107,USR003418,BNK008,BNK001,8239.89,2026-08-14 00:47:30,P2P,DEV003233,4G,CRED,SUCCESS,ERR_SUCCESS
TXN00000108,USR000927,BNK003,BNK003,1027.48,2026-08-23 03:09:40,P2M,DEV003631,5G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000109,USR009441,BNK003,BNK008,1627.82,2026-08-24 14:22:58,P2P,DEV000271,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000110,USR001923,BNK001,BNK002,246.14,2026-08-19 22:11:34,P2M,DEV003192,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000111,USR006447,BNK001,BNK001,106.05,2026-08-14 16:28:29,P2M,DEV001495,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000112,USR008576,BNK002,BNK001,232.9,2026-08-11 12:25:56,P2M,DEV004163,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000113,USR009647,BNK008,BNK003,9462.75,2026-08-24 14:17:04,P2P,DEV002194,5G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000114,USR000471,BNK002,BNK006,853.3,2026-08-26 11:37:31,P2M,DEV002239,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000115,USR001644,BNK005,BNK003,1254.28,2026-08-27 21:00:08,P2P,DEV001167,4G,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000116,USR005305,BNK008,BNK002,45.46,2026-07-28 12:56:32,P2P,DEV002977,5G,Paytm,SUCCESS,ERR_SUCCESS
TXN00000117,USR007159,BNK004,BNK002,317.73,2026-08-12 11:52:28,P2P,DEV002936,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000118,USR001153,BNK001,BNK009,92.09,2026-07-28 07:27:07,P2P,DEV003298,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000119,USR005676,BNK008,BNK002,1407.96,2026-08-03 23:21:55,P2M,DEV002099,4G,BHIM,SUCCESS,ERR_SUCCESS
TXN00000120,USR008784,BNK010,BNK002,581.69,2026-08-24 18:12:26,P2M,DEV000700,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000121,USR007110,BNK004,BNK004,13.18,2026-08-18 03:13:30,P2M,DEV000534,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000122,USR002297,BNK003,BNK003,203.66,2026-08-02 11:44:24,P2P,DEV001563,3G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000123,USR005145,BNK001,BNK003,30777.74,2026-08-26 05:57:35,P2M,DEV004630,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000124,USR000925,BNK002,BNK001,86.9,2026-07-30 12:48:08,P2M,DEV001555,5G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000125,USR008656,BNK003,BNK002,1215.34,2026-08-23 14:23:00,P2M,DEV002232,WiFi,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000126,USR001137,BNK004,BNK001,212.67,2026-07-30 11:56:10,P2M,DEV003054,4G,Google Pay,SUCCESS,ERR_SUCCESS
TXN00000127,USR000775,BNK006,BNK002,165.69,2026-08-11 23:41:59,P2P,DEV003206,WiFi,PhonePe,SUCCESS,ERR_SUCCESS
TXN00000128,USR003624,BNK008,BNK001,99.99,2026-08-15 06:14:41,P2P,DEV000453,5G,Paytm,FAILED,ERR_BD_01
TXN00000129,USR005911,BNK004,BNK005,126.33,2026-08-24 21:19:36,P2P,DEV003902,5G,BHIM,SUCCESS,ERR_SUCCESS
