user_id,signup_date,user_segment,state,age_group,tenure_days
USR000001,2026-02-28,Power,Maharashtra,25-34,181
USR000002,2023-05-25,Power,Haryana,35-44,1191
USR000003,2023-06-15,Power,West Bengal,45-59,1170
USR000004,2024-07-08,Frequent,Karnataka,18-24,781
USR000005,2025-11-05,Occasional,Gujarat,25-34,296
USR000006,2024-09-13,Frequent,Tamil Nadu,18-24,714
USR000007,2023-04-24,New,Tamil Nadu,25-34,1222
USR000008,2025-02-15,Frequent,Maharashtra,25-34,559
USR000009,2023-04-17,Occasional,Telangana,25-34,1229
USR000010,2025-05-30,Frequent,Rajasthan,18-24,455
USR000011,2025-06-15,New,Haryana,60+,439
USR000012,2025-01-23,Occasional,Gujarat,25-34,582
USR000013,2023-04-29,Occasional,Karnataka,25-34,1217
USR000014,2024-04-10,Occasional,Rajasthan,25-34,870
USR000015,2023-01-31,Power,Tamil Nadu,35-44,1305
USR000016,2023-06-06,New,West Bengal,18-24,1179
USR000017,2023-03-31,Occasional,Haryana,25-34,1246
USR000018,2024-05-15,Power,Delhi,25-34,835
USR000019,2025-09-07,Frequent,Karnataka,18-24,355
USR000020,2026-01-18,Occasional,Gujarat,45-59,222
USR000021,2024-03-27,Occasional,Uttar Pradesh,45-59,884
USR000022,2026-02-03,Occasional,Tamil Nadu,25-34,206
USR000023,2024-07-01,Occasional,Rajasthan,25-34,788
USR000024,2023-04-21,Occasional,Telangana,35-44,1225
USR000025,2025-09-22,Occasional,Tamil Nadu,45-59,340
USR000026,2025-12-02,Occasional,Rajasthan,18-24,269
USR000027,2025-02-01,Frequent,Delhi,18-24,573
USR000028,2024-04-26,Frequent,West Bengal,45-59,854
USR000029,2023-02-13,Frequent,Maharashtra,18-24,1292
USR000030,2025-02-25,Occasional,Karnataka,18-24,549
USR000031,2025-02-25,Frequent,Telangana,25-34,549
USR000032,2023-04-01,Occasional,Telangana,18-24,1245
USR000033,2025-06-01,Frequent,Uttar Pradesh,18-24,453
USR000034,2024-12-13,Power,Haryana,35-44,623
USR000035,2024-11-19,Power,Uttar Pradesh,35-44,647
USR000036,2024-03-19,Frequent,Gujarat,35-44,892
USR000037,2025-06-07,Power,Maharashtra,35-44,447
USR000038,2026-02-07,Occasional,Uttar Pradesh,35-44,202
USR000039,2025-12-31,Frequent,Haryana,35-44,240
USR000040,2025-11-28,Occasional,Telangana,25-34,273
USR000041,2024-05-02,New,Maharashtra,18-24,848
USR000042,2024-07-15,New,Tamil Nadu,35-44,774
USR000043,2024-08-28,Occasional,Telangana,18-24,730
USR000044,2024-07-15,Occasional,Uttar Pradesh,35-44,774
USR000045,2023-01-26,New,Haryana,25-34,1310
USR000046,2024-06-25,Power,West Bengal,25-34,794
USR000047,2025-06-19,New,Maharashtra,45-59,435
USR000048,2025-09-10,Frequent,Rajasthan,18-24,352
USR000049,2023-04-30,Frequent,Karnataka,18-24,1216
USR000050,2026-02-03,Occasional,Karnataka,25-34,206
USR000051,2024-06-12,Frequent,Uttar Pradesh,18-24,807
USR000052,2025-10-10,New,Delhi,18-24,322
USR000053,2023-04-12,Occasional,Maharashtra,18-24,1234
USR000054,2025-11-03,Power,Haryana,25-34,298
USR000055,2026-02-07,Frequent,Maharashtra,45-59,202
USR000056,2024-06-14,Power,Maharashtra,25-34,805
USR000057,2024-12-24,Frequent,Maharashtra,25-34,612
USR000058,2024-12-17,New,Rajasthan,25-34,619
USR000059,2025-11-12,New,Tamil Nadu,25-34,289
USR000060,2025-01-30,Power,Telangana,18-24,575
USR000061,2025-05-23,Power,Delhi,18-24,462
USR000062,2025-01-07,Occasional,Telangana,45-59,598
USR000063,2025-02-06,Frequent,Uttar Pradesh,25-34,568
USR000064,2023-11-25,Occasional,Uttar Pradesh,45-59,1007
USR000065,2023-02-22,New,Tamil Nadu,35-44,1283
USR000066,2025-11-12,Frequent,Rajasthan,35-44,289
USR000067,2024-12-05,Power,Telangana,35-44,631
USR000068,2023-03-08,Frequent,Delhi,25-34,1269
USR000069,2023-06-10,Power,Tamil Nadu,25-34,1175
USR000070,2026-03-22,Frequent,Telangana,25-34,159
USR000071,2023-09-06,Power,Rajasthan,35-44,1087
USR000072,2025-08-25,Frequent,Rajasthan,25-34,368
USR000073,2024-07-05,Occasional,Haryana,18-24,784
USR000074,2024-05-14,Occasional,Gujarat,18-24,836
USR000075,2024-10-06,Frequent,Karnataka,25-34,691
USR000076,2025-06-30,Frequent,Telangana,25-34,424
USR000077,2024-12-21,Frequent,Karnataka,45-59,615
USR000078,2025-09-18,Frequent,West Bengal,35-44,344
USR000079,2024-04-15,Frequent,Delhi,45-59,865
USR000080,2024-05-16,Frequent,Telangana,25-34,834
USR000081,2023-10-10,Frequent,Uttar Pradesh,25-34,1053
USR000082,2023-08-30,New,Telangana,25-34,1094
USR000083,2023-10-31,Frequent,Tamil Nadu,45-59,1032
USR000084,2025-07-18,New,Karnataka,25-34,406
USR000085,2026-02-09,Frequent,West Bengal,35-44,200
USR000086,2023-09-16,Power,Telangana,18-24,1077
USR000087,2023-12-08,Power,Delhi,25-34,994
USR000088,2025-12-20,Power,Telangana,25-34,251
USR000089,2025-04-03,Frequent,Tamil Nadu,35-44,512
USR000090,2023-09-01,Occasional,Gujarat,25-34,1092
USR000091,2023-08-09,Power,Maharashtra,18-24,1115
